PSGC,GEOLEVEL,LGUNAME
0102901003,BGY,Anaao
0102901004,BGY,Apang
0102901005,BGY,Apaya
0102901006,BGY,Batbato
0102901010,BGY,Daddaay
0102901011,BGY,Dalawa
0102901013,BGY,Kiat
0102902000,MUN,Banayoyo
0102902001,BGY,Bagbagotot
0102902002,BGY,Banbanaal
0102902004,BGY,Bisangol
0102902005,BGY,Cadanglaan
0102902006,BGY,Casilagan Norte
0102902007,BGY,Casilagan Sur
0102902008,BGY,Elefante
0102902009,BGY,Guardia
0102902010,BGY,Lintic
0102902011,BGY,Lopez
0102902012,BGY,Montero
0102902013,BGY,Naguimba
0102902014,BGY,Pila
0102902015,BGY,Poblacion
0102903000,MUN,Bantay
0102903001,BGY,Aggay
0102903002,BGY,An-annam
0102903003,BGY,Balaleng
0102903004,BGY,Banaoang
0102903005,BGY,Bulag
0102903006,BGY,Buquig
0102903007,BGY,Cabalanggan
0102903008,BGY,Cabaroan
0102903009,BGY,Cabusligan
0102903010,BGY,Capangdanan
0102903011,BGY,Guimod
0102903012,BGY,Lingsat
0102903013,BGY,Malingeb
0102903014,BGY,Mira
0102903015,BGY,Naguiddayan
0102903016,BGY,Ora
0102903017,BGY,Paing
0102903018,BGY,Puspus
0102903019,BGY,Quimmarayan
0102903020,BGY,Sagneb
0102903021,BGY,Sagpat
0102903022,BGY,San Mariano
0102903023,BGY,San Isidro
0102903024,BGY,San Julian
0102903026,BGY,Sinabaan
0102903027,BGY,Taguiporo
0102903028,BGY,Taleb
0102903029,BGY,Tay-ac
0102903030,BGY,Barangay 1
0102903031,BGY,Barangay 2
0102903032,BGY,Barangay 3
0102903033,BGY,Barangay 4
0102903034,BGY,Barangay 5
0102903035,BGY,Barangay 6
0102904000,MUN,Burgos
0102904001,BGY,Ambugat
0102904002,BGY,Balugang
0102904003,BGY,Bangbangar
0102904005,BGY,Bessang
0102904006,BGY,Cabcaburao
0102904007,BGY,Cadacad
0102904008,BGY,Callitong
0102904009,BGY,Dayanki
0102904010,BGY,Lesseb
0102904011,BGY,Lubing
0102904012,BGY,Lucaban
0102904013,BGY,Luna
0102904014,BGY,Macaoayan
0102904015,BGY,Mambug
0102904016,BGY,Manaboc
0102904017,BGY,Mapanit
0102904018,BGY,Poblacion Sur
0102904019,BGY,Nagpanaoan
0102904020,BGY,Dirdirig
0102904022,BGY,Paduros
0102904023,BGY,Patac
0102904024,BGY,Poblacion Norte
0102904026,BGY,Sabangan Pinggan
0102904027,BGY,Subadi Norte
0102904028,BGY,Subadi Sur
0102904029,BGY,Taliao
0102905000,MUN,Cabugao
0102905001,BGY,Alinaay
0102905002,BGY,Aragan
0102905003,BGY,Arnap
0102905004,BGY,Baclig
0102905005,BGY,Bato
0102905006,BGY,Bonifacio
0102905007,BGY,Bungro
0102905008,BGY,Cacadiran
0102905009,BGY,Caellayan
0102905010,BGY,Carusipan
0102905011,BGY,Catucdaan
0102905012,BGY,Cuancabal
0102905013,BGY,Cuantacla
0102905014,BGY,Daclapan
0102905015,BGY,Dardarat
0102905016,BGY,Lipit
0102905017,BGY,Maradodon
0102905018,BGY,Margaay
0102905019,BGY,Nagsantaan
0102905020,BGY,Nagsincaoan
0102905021,BGY,Namruangan
0102905022,BGY,Pila
0102905023,BGY,Pug-os
0102905024,BGY,Quezon
0102905025,BGY,Reppaac
0102905026,BGY,Rizal
0102905027,BGY,Sabang
0102905028,BGY,Sagayaden
0102905029,BGY,Salapasap
0102905030,BGY,Salomague
0102905031,BGY,Sisim
0102905032,BGY,Turod
0102905033,BGY,Turod-Patac
0102906000,CITY,City of Candon
0102906001,BGY,Allangigan Primero
0102906002,BGY,Allangigan Segundo
0102906003,BGY,Amguid
0102906004,BGY,Ayudante
0102906005,BGY,Bagani Camposanto
0102906006,BGY,Bagani Gabor
0102906007,BGY,Bagani Tocgo
0102906008,BGY,Bagani Ubbog
0102906009,BGY,Bagar
0102906010,BGY,Balingaoan
0102906015,BGY,Bugnay
0102906016,BGY,Calaoaan
0102906017,BGY,Calongbuyan
0102906018,BGY,Caterman
0102906019,BGY,Cubcubbuot
0102906020,BGY,Darapidap
0102906022,BGY,Langlangca Primero
0102906023,BGY,Langlangca Segundo
0102906024,BGY,Oaig-Daya
0102906025,BGY,Palacapac
0102906026,BGY,Paras
0102906027,BGY,Parioc Primero
0102906028,BGY,Parioc Segundo
0102906029,BGY,Patpata Primero
0102906030,BGY,Patpata Segundo
0102906031,BGY,Paypayad
0102906032,BGY,Salvador Primero
0102906033,BGY,Salvador Segundo
0102906034,BGY,San Agustin
0102906035,BGY,San Andres
0102906036,BGY,San Antonio
0102906037,BGY,San Isidro
0102906038,BGY,San Jose
0102906039,BGY,San Juan
0102906040,BGY,San Nicolas
0102906041,BGY,San Pedro
0102906042,BGY,Santo Tomas
0102906043,BGY,Tablac
0102906044,BGY,Talogtog
0102906045,BGY,Tamurong Primero
0102906046,BGY,Tamurong Segundo
0102906048,BGY,Villarica
0102907000,MUN,Caoayan
0102907001,BGY,Anonang Mayor
0102907002,BGY,Anonang Menor
0102907003,BGY,Baggoc
0102907004,BGY,Callaguip
0102907005,BGY,Caparacadan
0102907006,BGY,Fuerte
0102907007,BGY,Manangat
0102907008,BGY,Naguilian
0102907009,BGY,Nansuagao
0102907010,BGY,Pandan
0102907011,BGY,Pantay-Quitiquit
0102907012,BGY,Don Dimas Querubin
0102907013,BGY,Puro
0102907014,BGY,Pantay Tamurong
0102907015,BGY,Villamar
0102907016,BGY,Don Alejandro Quirolgico
0102907017,BGY,Don Lorenzo Querubin
0102908000,MUN,Cervantes
0102908001,BGY,Aluling
0102908002,BGY,Comillas North
0102908003,BGY,Comillas South
0102908004,BGY,Concepcion
0102908005,BGY,Dinwede East
0102908006,BGY,Dinwede West
0102908007,BGY,Libang
0102908010,BGY,Pilipil
0102908013,BGY,Remedios
0102908014,BGY,Rosario
0102908015,BGY,San Juan
0102908016,BGY,San Luis
0102908017,BGY,Malaya
0102909000,MUN,Galimuyod
0102909001,BGY,Abaya
0102909002,BGY,Baracbac
0102909003,BGY,Bidbiday
0102909004,BGY,Bitong
0102909005,BGY,Borobor
0102909006,BGY,Calimugtong
0102909007,BGY,Calongbuyan
0102909008,BGY,Calumbaya
0102909009,BGY,Daldagan
0102909010,BGY,Kilang
0102909011,BGY,Legaspi
0102909012,BGY,Mabayag
0102909013,BGY,Matanubong
0102909014,BGY,Mckinley
0102909015,BGY,Nagsingcaoan
0102909016,BGY,Oaig-Daya
0102909017,BGY,Pagangpang
0102909018,BGY,Patac
0102909019,BGY,Poblacion
0102909020,BGY,Rubio
0102909021,BGY,Sabangan-Bato
0102909022,BGY,Sacaang
0102909023,BGY,San Vicente
0102909024,BGY,Sapang
0102910000,MUN,Gregorio del Pilar
0102910001,BGY,Alfonso
0102910002,BGY,Bussot
0102910003,BGY,Concepcion
0102910004,BGY,Dapdappig
0102910005,BGY,Matue-Butarag
0102910007,BGY,Poblacion Norte
0102910008,BGY,Poblacion Sur
0102911000,MUN,Lidlidda
